ref,payout_date,qty_produk,hpp,total_price,seller_discount,fee_admin,fee_service,fee_affiliate,fee_order_process,fee_program,fee_transaction,shipping_cost,omset,payout_status
251220UC7GNPR1,2026-01-01 00:00:00,1,213900,525000,0,-53550,-61950,-7692,-1250,-350,0,0,400208,sukses
251228HMMC6N6R,2026-01-01 00:00:00,2,244250,654000,-124000,-54060,-62540,0,-1250,-350,0,0,411800,sukses
2512234PPY7GHH,2026-01-01 00:00:00,1,115850,325000,0,-31525,-38350,-9231,-1250,-350,0,0,244294,sukses
251229KTR3DCD3,2026-01-01 00:00:00,1,190900,385000,-11550,-38092,-44067,0,-1250,-350,0,0,289691,sukses
581843679827428998,2026-01-01 00:00:00,2,198600,497500,-159000,-27080,-17559,0,0,-11848,-1250,0,280763,sukses
251212511090QD,2026-01-02 00:00:00,1,200900,415000,0,-42330,-48970,0,-1250,-350,0,0,322100,sukses
251225A10XKR22,2026-01-02 00:00:00,2,233750,565000,-16950,-55901,-64670,0,-1250,-350,0,0,425879,sukses
25122478YG70H7,2026-01-02 00:00:00,2,345900,871500,0,-87161,-102838,0,-1250,-350,0,0,679901,sukses
2512223CKW5G3B,2026-01-02 00:00:00,2,210750,425000,0,-43350,-50150,0,-1250,-350,0,0,329900,sukses
251227FUDYD3DK,2026-01-02 00:00:00,1,72000,127000,-3810,-12565,-14536,0,-1250,-350,0,0,94489,sukses
251228GR1XKC00,2026-01-02 00:00:00,2,91850,167000,-5010,-16523,-19115,0,-1250,-350,0,0,124752,sukses
251229KHR7XB3C,2026-01-02 00:00:00,1,200900,415000,-83000,-33864,-39176,0,-1250,-350,0,0,257360,sukses
251229KAV6WJG3,2026-01-02 00:00:00,1,204000,385000,-11550,-38092,-44067,0,-1250,-350,0,0,289691,sukses
581873578345727952,2026-01-02 00:00:00,1,132000,275000,-8250,-21340,-14671,0,0,-9336,-1250,0,220153,sukses
581870410804594494,2026-01-02 00:00:00,3,434700,929500,-245900,-54688,-34180,0,0,-23926,-1250,0,569556,sukses
581867468132681125,2026-01-02 00:00:00,1,72000,127000,-3810,-9855,-6775,-12319,0,-4312,-1250,0,88679,sukses
581854294192588014,2026-01-02 00:00:00,2,307790,708400,-177100,-42504,-28524,0,0,-18596,-1250,0,440426,sukses
581840608876135739,2026-01-02 00:00:00,1,132000,346500,-69300,-22176,-15246,0,0,-9702,-1250,0,228826,sukses
581804050931353373,2026-01-02 00:00:00,1,262900,495000,0,-39600,-27225,0,0,-22275,-1250,0,404650,sukses
581785354945070382,2026-01-02 00:00:00,1,132000,346500,0,-27720,-19058,0,0,-15592,-1250,0,282880,sukses
260102VQAXF9Y4,2026-01-03 00:00:00,1,132000,346500,-69300,-28274,-32710,0,-1250,-350,0,0,214616,sukses
25122479F1XYAV,2026-01-03 00:00:00,1,200900,415000,0,-42330,-48970,0,-1250,-350,0,0,322100,sukses
251225ATWAXT26,2026-01-03 00:00:00,1,115850,325000,-81250,-23644,-28763,-3450,-1250,-350,0,0,186293,sukses
251230PHDAP4V4,2026-01-03 00:00:00,1,19850,40000,-1200,-3958,-4578,0,-1250,-350,0,0,28664,sukses
251230NS0500WF,2026-01-03 00:00:00,1,72000,127000,-3810,-12565,-14536,0,-1250,-350,0,0,94489,sukses
