order_no,order_date,ref_no,channel_id
TP-581430954003236254-116092,2025-12-01 01:34:48,581430954003236254,2
TT-581431390246307802-116096,2025-12-01 04:01:47,581431390246307802,3
TT-581433160768718025-116096,2025-12-01 08:22:08,581433160768718025,3
TT-581433436239595246-116096,2025-12-01 08:44:26,581433436239595246,3
TT-581434389738784145-116096,2025-12-01 10:08:46,581434389738784145,3
SP-2512017J68WTR4,2025-12-01 10:47:36,2512017J68WTR4,1
SP-2512017KTGQ2EY,2025-12-01 11:16:49,2512017KTGQ2EY,1
SP-2512017MJ432AR,2025-12-01 11:30:01,2512017MJ432AR,1
TT-581437897719317659-116096,2025-12-01 14:24:47,581437897719317659,3
TT-581439082480632907-116096,2025-12-01 16:00:08,581439082480632907,3
SP-2512018GM9X14Y,2025-12-01 19:52:19,2512018GM9X14Y,1
SO-000002151,2025-12-01 20:37:49,SO-000002151,6
SO-010002151,2025-12-01 20:41:08,SO-010002151,22
SP-2512028W6T7Q3P,2025-12-01 23:37:25,2512028W6T7Q3P,1
SP-25120293JNCC7G,2025-12-02 01:31:26,25120293JNCC7G,1
SP-25120298FVX4HK,2025-12-02 02:59:26,25120298FVX4HK,1
SP-251202A510GVSP,2025-12-02 11:30:00,251202A510GVSP,1
SP-251202AHMDG462,2025-12-02 15:15:40,251202AHMDG462,1
SP-251202AHXNKRQR,2025-12-02 15:21:26,251202AHXNKRQR,1
SP-251202AMUG9VWQ,2025-12-02 16:13:15,251202AMUG9VWQ,1
SO-000002161,2025-12-02 16:30:06,SO-000002161,6
SP-251202ASAFXVVA,2025-12-02 17:33:20,251202ASAFXVVA,1
SP-251203CD8ARDRG,2025-12-03 09:02:35,251203CD8ARDRG,1
SP-251203CDJF23H3,2025-12-03 09:08:15,251203CDJF23H3,1
SP-251203CMP9V180,2025-12-03 11:15:40,251203CMP9V180,1
SP-251203D0RFKFQQ,2025-12-03 14:51:39,251203D0RFKFQQ,1
SP-251203D8JA7RT9,2025-12-03 17:11:21,251203D8JA7RT9,1
SP-251203D9NT1MJN,2025-12-03 17:32:03,251203D9NT1MJN,1
SP-251203DNG2278Q,2025-12-03 21:02:44,251203DNG2278Q,1
SP-251203DP027FH2,2025-12-03 21:11:42,251203DP027FH2,1
SP-251204DVE21UAW,2025-12-03 23:06:54,251204DVE21UAW,1
SP-251204DXWBQE7E,2025-12-03 23:52:04,251204DXWBQE7E,1
TT-581478440016380968-116096,2025-12-04 07:32:14,581478440016380968,3
SP-251204EYVV1FXD,2025-12-04 09:41:31,251204EYVV1FXD,1
TT-581481159351174736-116096,2025-12-04 11:25:37,581481159351174736,3
SO-000002178,2025-12-04 11:51:51,SO-000002178,6
SP-251204F9VH36PF,2025-12-04 12:40:17,251204F9VH36PF,1
SP-251204FCVUCQQW,2025-12-04 13:35:00,251204FCVUCQQW,1
SO-000002181,2025-12-04 14:01:03,SO-000002181,6
SP-251204FSA3VBUC,2025-12-04 17:16:23,251204FSA3VBUC,1
SP-251205GSMG1SWH,2025-12-05 02:54:47,251205GSMG1SWH,1
SP-251205HK6N79CK,2025-12-05 10:33:10,251205HK6N79CK,1
TP-581498169334531646-116092,2025-12-05 13:32:11,581498169334531646,2
SO-000002189,2025-12-05 16:13:19,SO-000002189,6
SP-251205JNGHKBG7,2025-12-05 20:46:30,251205JNGHKBG7,1
SP-251205JSX7C2FY,2025-12-05 22:05:33,251205JSX7C2FY,1
SP-251206JWF21M3M,2025-12-05 23:08:40,251206JWF21M3M,1
TP-581510864838034756-116092,2025-12-06 09:54:27,581510864838034756,2
SP-251206M23R3RVQ,2025-12-06 10:04:28,251206M23R3RVQ,1
SP-251206MD96GFGV,2025-12-06 13:25:18,251206MD96GFGV,1
AL-202512060805012334148-118542,2025-12-06 15:05:01,202512060805012334148,8
SP-251206MT6ACVT1,2025-12-06 17:15:25,251206MT6ACVT1,1
SP-251206N4CWQB3K,2025-12-06 20:18:03,251206N4CWQB3K,1
SP-251206N4W88XN3,2025-12-06 20:28:01,251206N4W88XN3,1
SP-251206N545J4E3,2025-12-06 20:31:03,251206N545J4E3,1
SP-251207PNPBNENE,2025-12-07 11:00:14,251207PNPBNENE,1
TP-581532406048655059-116092,2025-12-07 16:10:05,581532406048655059,2
TT-581534173970204187-116096,2025-12-07 18:22:12,581534173970204187,3
SP-251207QF185DCE,2025-12-07 18:34:33,251207QF185DCE,1
SP-251207QNHP71NV,2025-12-07 20:30:21,251207QNHP71NV,1
SP-251207QP4X921F,2025-12-07 20:41:03,251207QP4X921F,1
SP-251207QQYBDCQ5,2025-12-07 21:13:42,251207QQYBDCQ5,1
SP-251208R2YACQ63,2025-12-08 00:30:38,251208R2YACQ63,1
TP-581541432023549676-116092,2025-12-08 07:37:13,581541432023549676,2
SP-251208RWW9E0QC,2025-12-08 08:32:35,251208RWW9E0QC,1
SP-251208S97N6QBF,2025-12-08 11:55:14,251208S97N6QBF,1
SP-251208SCSWJC3K,2025-12-08 12:59:59,251208SCSWJC3K,1
SP-251208SH3X0DR1,2025-12-08 14:16:19,251208SH3X0DR1,1
SP-251208SNF6H1QA,2025-12-08 15:34:13,251208SNF6H1QA,1
SP-251208SW6CC9PB,2025-12-08 17:52:26,251208SW6CC9PB,1
SP-251208SWNX57GH,2025-12-08 18:01:12,251208SWNX57GH,1
SO-000002224,2025-12-09 09:43:26,SO-000002224,6
SP-251209UQ4DDQ6J,2025-12-09 11:09:23,251209UQ4DDQ6J,1
TT-581565103780234645-116096,2025-12-09 16:24:27,581565103780234645,3
TT-581565938145462182-116096,2025-12-09 17:29:38,581565938145462182,3
SP-251209VFSCY8M7,2025-12-09 18:30:37,251209VFSCY8M7,1
SP-2512100MYTWMNF,2025-12-10 06:35:43,2512100MYTWMNF,1
TT-581575856330933658-116096,2025-12-10 09:58:50,581575856330933658,3
TT-581575880375436698-116096,2025-12-10 09:59:28,581575880375436698,3
SP-25121015ERTTGD,2025-12-10 11:30:24,25121015ERTTGD,1
SP-251210186XSDYP,2025-12-10 12:19:43,251210186XSDYP,1
SP-2512101V1AP03V,2025-12-10 18:14:30,2512101V1AP03V,1
TP-581583756187305119-116092,2025-12-10 19:17:55,581583756187305119,2
SP-25121029W00BV8,2025-12-10 22:22:40,25121029W00BV8,1
SP-2512112KUD13W1,2025-12-11 01:20:40,2512112KUD13W1,1
SP-2512112KYS99FX,2025-12-11 01:23:08,2512112KYS99FX,1
TT-581588555011753752-116096,2025-12-11 01:28:06,581588555011753752,3
SP-251211383GJTFE,2025-12-11 07:23:07,251211383GJTFE,1
