sku,total_hpp,category_code,sku_name,product_name,color,color_code,size,variations,busa_code,inv_main,inv_acc,is_bundling,is_active,price_mp,price_non_mp
RIMC-HLM-DJA-WG-M,185100,1200,Helm Doja White M,Doja,White,RIMC-HLM-DJA-WG,M,Helm Doja White,RIMC-BHP-M,RIMC-HLM-DJA-WG-M,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-WG-L,185100,1200,Helm Doja White L,Doja,White,RIMC-HLM-DJA-WG,L,Helm Doja White,RIMC-BHP-L,RIMC-HLM-DJA-WG-L,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-WG-XL,185100,1200,Helm Doja White XL,Doja,White,RIMC-HLM-DJA-WG,XL,Helm Doja White,RIMC-BHP-XL,RIMC-HLM-DJA-WG-XL,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-WG-M-VSR-SNL-CL,259100,1200,Helm Doja White M Snail Clear,Doja,White,RIMC-HLM-DJA-WG,M,Helm Doja White,RIMC-BHP-M,RIMC-HLM-DJA-WG-M,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-WG-L-VSR-SNL-CL,259100,1200,Helm Doja White L Snail Clear,Doja,White,RIMC-HLM-DJA-WG,L,Helm Doja White,RIMC-BHP-L,RIMC-HLM-DJA-WG-L,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-WG-XL-VSR-SNL-CL,259100,1200,Helm Doja White XL Snail Clear,Doja,White,RIMC-HLM-DJA-WG,XL,Helm Doja White,RIMC-BHP-XL,RIMC-HLM-DJA-WG-XL,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-WG-M-VSR-SNL-SMK,259100,1200,Helm Doja White M Snail Smoke,Doja,White,RIMC-HLM-DJA-WG,M,Helm Doja White,RIMC-BHP-M,RIMC-HLM-DJA-WG-M,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-WG-L-VSR-SNL-SMK,259100,1200,Helm Doja White L Snail Smoke,Doja,White,RIMC-HLM-DJA-WG,L,Helm Doja White,RIMC-BHP-L,RIMC-HLM-DJA-WG-L,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-WG-XL-VSR-SNL-SMK,259100,1200,Helm Doja White XL Snail Smoke,Doja,White,RIMC-HLM-DJA-WG,XL,Helm Doja White,RIMC-BHP-XL,RIMC-HLM-DJA-WG-XL,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-BGI-M,185100,1200,Helm Doja Beige M,Doja,Beige,RIMC-HLM-DJA-BGI,M,Helm Doja Beige,RIMC-BHP-M,RIMC-HLM-DJA-BGI-M,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-BGI-L,185100,1200,Helm Doja Beige L,Doja,Beige,RIMC-HLM-DJA-BGI,L,Helm Doja Beige,RIMC-BHP-L,RIMC-HLM-DJA-BGI-L,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-BGI-XL,185100,1200,Helm Doja Beige XL,Doja,Beige,RIMC-HLM-DJA-BGI,XL,Helm Doja Beige,RIMC-BHP-XL,RIMC-HLM-DJA-BGI-XL,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-BGI-M-VSR-SNL-CL,259100,1200,Helm Doja Beige M Snail Clear,Doja,Beige,RIMC-HLM-DJA-BGI,M,Helm Doja Beige,RIMC-BHP-M,RIMC-HLM-DJA-BGI-M,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-BGI-L-VSR-SNL-CL,259100,1200,Helm Doja Beige L Snail Clear,Doja,Beige,RIMC-HLM-DJA-BGI,L,Helm Doja Beige,RIMC-BHP-L,RIMC-HLM-DJA-BGI-L,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-BGI-XL-VSR-SNL-CL,259100,1200,Helm Doja Beige XL Snail Clear,Doja,Beige,RIMC-HLM-DJA-BGI,XL,Helm Doja Beige,RIMC-BHP-XL,RIMC-HLM-DJA-BGI-XL,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-BGI-M-VSR-SNL-SMK,259100,1200,Helm Doja Beige M Snail Smoke,Doja,Beige,RIMC-HLM-DJA-BGI,M,Helm Doja Beige,RIMC-BHP-M,RIMC-HLM-DJA-BGI-M,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-BGI-L-VSR-SNL-SMK,259100,1200,Helm Doja Beige L Snail Smoke,Doja,Beige,RIMC-HLM-DJA-BGI,L,Helm Doja Beige,RIMC-BHP-L,RIMC-HLM-DJA-BGI-L,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-BGI-XL-VSR-SNL-SMK,259100,1200,Helm Doja Beige XL Snail Smoke,Doja,Beige,RIMC-HLM-DJA-BGI,XL,Helm Doja Beige,RIMC-BHP-XL,RIMC-HLM-DJA-BGI-XL,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-BG-M,185100,1200,Helm Doja Black Glossy M,Doja,Black Glossy,RIMC-HLM-DJA-BG,M,Helm Doja Black Glossy,RIMC-BHP-M,RIMC-HLM-DJA-BG-M,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-BG-L,185100,1200,Helm Doja Black Glossy L,Doja,Black Glossy,RIMC-HLM-DJA-BG,L,Helm Doja Black Glossy,RIMC-BHP-L,RIMC-HLM-DJA-BG-L,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-BG-XL,185100,1200,Helm Doja Black Glossy XL,Doja,Black Glossy,RIMC-HLM-DJA-BG,XL,Helm Doja Black Glossy,RIMC-BHP-XL,RIMC-HLM-DJA-BG-XL,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-BG-M-VSR-SNL-CL,259100,1200,Helm Doja Black Glossy M Snail Clear,Doja,Black Glossy,RIMC-HLM-DJA-BG,M,Helm Doja Black Glossy,RIMC-BHP-M,RIMC-HLM-DJA-BG-M,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-BG-L-VSR-SNL-CL,259100,1200,Helm Doja Black Glossy L Snail Clear,Doja,Black Glossy,RIMC-HLM-DJA-BG,L,Helm Doja Black Glossy,RIMC-BHP-L,RIMC-HLM-DJA-BG-L,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-BG-XL-VSR-SNL-CL,259100,1200,Helm Doja Black Glossy XL Snail Clear,Doja,Black Glossy,RIMC-HLM-DJA-BG,XL,Helm Doja Black Glossy,RIMC-BHP-XL,RIMC-HLM-DJA-BG-XL,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-BG-M-VSR-SNL-SMK,259100,1200,Helm Doja Black Glossy M Snail Smoke,Doja,Black Glossy,RIMC-HLM-DJA-BG,M,Helm Doja Black Glossy,RIMC-BHP-M,RIMC-HLM-DJA-BG-M,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-BG-L-VSR-SNL-SMK,259100,1200,Helm Doja Black Glossy L Snail Smoke,Doja,Black Glossy,RIMC-HLM-DJA-BG,L,Helm Doja Black Glossy,RIMC-BHP-L,RIMC-HLM-DJA-BG-L,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-BG-XL-VSR-SNL-SMK,259100,1200,Helm Doja Black Glossy XL Snail Smoke,Doja,Black Glossy,RIMC-HLM-DJA-BG,XL,Helm Doja Black Glossy,RIMC-BHP-XL,RIMC-HLM-DJA-BG-XL,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
RIMC-HLM-DJA-MB-M,185100,1200,Helm Doja Black Matte M,Doja,Black Matte,RIMC-HLM-DJA-MB,M,Helm Doja Black Matte,RIMC-BHP-M,RIMC-HLM-DJA-MB-M,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-MB-L,185100,1200,Helm Doja Black Matte L,Doja,Black Matte,RIMC-HLM-DJA-MB,L,Helm Doja Black Matte,RIMC-BHP-L,RIMC-HLM-DJA-MB-L,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-MB-XL,185100,1200,Helm Doja Black Matte XL,Doja,Black Matte,RIMC-HLM-DJA-MB,XL,Helm Doja Black Matte,RIMC-BHP-XL,RIMC-HLM-DJA-MB-XL,,FALSE,TRUE,385000,350000
RIMC-HLM-DJA-MB-M-VSR-SNL-CL,259100,1200,Helm Doja Black Matte M Snail Clear,Doja,Black Matte,RIMC-HLM-DJA-MB,M,Helm Doja Black Matte,RIMC-BHP-M,RIMC-HLM-DJA-MB-M,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-MB-L-VSR-SNL-CL,259100,1200,Helm Doja Black Matte L Snail Clear,Doja,Black Matte,RIMC-HLM-DJA-MB,L,Helm Doja Black Matte,RIMC-BHP-L,RIMC-HLM-DJA-MB-L,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-MB-XL-VSR-SNL-CL,259100,1200,Helm Doja Black Matte XL Snail Clear,Doja,Black Matte,RIMC-HLM-DJA-MB,XL,Helm Doja Black Matte,RIMC-BHP-XL,RIMC-HLM-DJA-MB-XL,RIMC-VSR-SNL-CL,TRUE,TRUE,495000,
RIMC-HLM-DJA-MB-M-VSR-SNL-SMK,259100,1200,Helm Doja Black Matte M Snail Smoke,Doja,Black Matte,RIMC-HLM-DJA-MB,M,Helm Doja Black Matte,RIMC-BHP-M,RIMC-HLM-DJA-MB-M,RIMC-VSR-SNL-SMK,TRUE,TRUE,495000,
