sku,component_group,component_type,inv_code,component_name,qty,unit_cost,is_stock_tracked,notes,sequence_no,is_active
RIMC-BDR-L,MAIN,INVENTORY,RIMC-BDR-L,Main - RIMC-BDR-L,1,10000,true,Auto from inv_main,1,true
RIMC-BDR-L,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BDR-L,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BDR-M,MAIN,INVENTORY,RIMC-BDR-M,Main - RIMC-BDR-M,1,10000,true,Auto from inv_main,1,true
RIMC-BDR-M,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BDR-M,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BDR-XL,MAIN,INVENTORY,RIMC-BDR-XL,Main - RIMC-BDR-XL,1,10000,true,Auto from inv_main,1,true
RIMC-BDR-XL,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BDR-XL,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BHP-L,MAIN,INVENTORY,RIMC-BHP-L,Main - RIMC-BHP-L,1,12000,true,Auto from inv_main,1,true
RIMC-BHP-L,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BHP-L,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BHP-M,MAIN,INVENTORY,RIMC-BHP-M,Main - RIMC-BHP-M,1,12000,true,Auto from inv_main,1,true
RIMC-BHP-M,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BHP-M,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BHP-XL,MAIN,INVENTORY,RIMC-BHP-XL,Main - RIMC-BHP-XL,1,12000,true,Auto from inv_main,1,true
RIMC-BHP-XL,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BHP-XL,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BHR-L,MAIN,INVENTORY,RIMC-BHR-L,Main - RIMC-BHR-L,1,10000,true,Auto from inv_main,1,true
RIMC-BHR-L,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BHR-L,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BHR-M,MAIN,INVENTORY,RIMC-BHR-M,Main - RIMC-BHR-M,1,10000,true,Auto from inv_main,1,true
RIMC-BHR-M,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BHR-M,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BHR-XL,MAIN,INVENTORY,RIMC-BHR-XL,Main - RIMC-BHR-XL,1,10000,true,Auto from inv_main,1,true
RIMC-BHR-XL,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BHR-XL,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BKD-L,MAIN,INVENTORY,RIMC-BKD-L,Main - RIMC-BKD-L,1,12000,true,Auto from inv_main,1,true
RIMC-BKD-L,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BKD-L,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BKD-M,MAIN,INVENTORY,RIMC-BKD-M,Main - RIMC-BKD-M,1,12000,true,Auto from inv_main,1,true
RIMC-BKD-M,PACKING,NON_INVENTORY,,PACKING,1,4000,false,"BUBBLEPACK, LAKBAN",2,true
RIMC-BKD-M,BRANDING,NON_INVENTORY,,STICKER,1,2000,false,,3,true
RIMC-BKD-XL,MAIN,INVENTORY,RIMC-BKD-XL,Main - RIMC-BKD-XL,1,12000,true,Auto from inv_main,1,true
