inv_code,qty_on_hand
RIMC-HLM-DJA-WG-M,0
RIMC-HLM-DJA-WG-L,5
RIMC-HLM-DJA-WG-XL,0
RIMC-HLM-DJA-BGI-M,0
RIMC-HLM-DJA-BGI-L,0
RIMC-HLM-DJA-BGI-XL,0
RIMC-HLM-DJA-BG-M,0
RIMC-HLM-DJA-BG-L,8
RIMC-HLM-DJA-BG-XL,0
RIMC-HLM-DJA-MB-M,0
RIMC-HLM-DJA-MB-L,0
RIMC-HLM-DJA-MB-XL,0
RIMC-HLM-DJA-ORN-M,1
RIMC-HLM-DJA-ORN-L,0
RIMC-HLM-DJA-ORN-XL,14
RIMC-HLM-DJA-YL-M,0
RIMC-HLM-DJA-YL-L,0
RIMC-HLM-DJA-YL-XL,0
RIMC-HLM-DJA-RD-M,0
RIMC-HLM-DJA-RD-L,0
RIMC-HLM-DJA-RD-XL,0
RIMC-HLM-DJA-SVR-M,0
RIMC-HLM-DJA-SVR-L,0
RIMC-HLM-DJA-SVR-XL,0
RIMC-HLM-DJX-BG-M,9
RIMC-HLM-DJX-BG-L,8
RIMC-HLM-DJX-BG-XL,17
RIMC-HLM-DJX-MB-M,0
RIMC-HLM-DJX-MB-L,0
RIMC-HLM-DJX-MB-XL,0
RIMC-HLM-DJX-WG-M,0
RIMC-HLM-DJX-WG-L,0
RIMC-HLM-DJX-WG-XL,0
RIMC-HLM-DJX-BGI-M,1
RIMC-HLM-DJX-BGI-L,1
RIMC-HLM-DJX-BGI-XL,4
RIMC-HLM-500-TX-BLK-GLS-S-M,9
RIMC-HLM-500-TX-BLK-GLS-L-XL,63
RIMC-HLM-500-TX-BLK-DOP-S-M,4
RIMC-HLM-500-TX-BLK-DOP-L-XL,21
RIMC-HLM-500-TX-WHT-GLS-S-M,0
RIMC-HLM-500-TX-WHT-GLS-L-XL,25
RIMC-HLM-500-TX-BEI-GLS-S-M,0
RIMC-HLM-500-TX-BEI-GLS-L-XL,0
RIMC-HLM-500-TX-ORN-GLS-S-M,8
RIMC-HLM-500-TX-ORN-GLS-L-XL,14
RIMC-HLM-500-TX-YL-GLS-S-M,0
RIMC-HLM-500-TX-YL-GLS-L-XL,0
RIMC-HLM-500-TX-RD-GLS-S-M,0
RIMC-HLM-500-TX-RD-GLS-L-XL,0
RIMC-HLM-500-TX-SVR-GLS-S-M,0
RIMC-HLM-500-TX-SVR-GLS-L-XL,25
RIMC-HLM-KDJ-BG-M,0
RIMC-HLM-KDJ-BG-L,13
RIMC-HLM-KDJ-BG-XL,2
RIMC-HLM-KDJ-MB-M,13
RIMC-HLM-KDJ-MB-L,8
RIMC-HLM-KDJ-MB-XL,16
RIMC-HLM-KDJ-WG-M,23
RIMC-HLM-KDJ-WG-L,1
RIMC-HLM-KDJ-WG-XL,24
RIMC-HLM-KDJ-BGI-M,0
RIMC-HLM-KDJ-BGI-L,0
RIMC-HLM-KDJ-BGI-XL,0
RIMC-HLM-KDJ-SVR-M,12
RIMC-HLM-KDJ-SVR-L,-2
RIMC-HLM-KDJ-SVR-XL,4
RIMC-HLM-KDJ-PNK-M,0
RIMC-HLM-KDJ-PNK-L,4
RIMC-HLM-KDJ-PNK-XL,9
RIMC-HLM-KDJ-ORN-M,0
RIMC-HLM-KDJ-ORN-L,4
RIMC-HLM-KDJ-ORN-XL,5
RIMC-HLM-UNI-GLS-M,5
RIMC-HLM-UNI-GLS-L,42
RIMC-HLM-UNI-GLS-XL,22
RIMC-HLM-UNI-DOP-M,1
RIMC-HLM-UNI-DOP-L,18
RIMC-HLM-UNI-DOP-XL,3
RIMC-HLM-NRS-PNK-M-NEW,0
RIMC-HLM-NRS-PNK-L-NEW,0
RIMC-HLM-NRS-PNK-XL-NEW,4
RIMC-HLM-NRS-PPL-M-NEW,0
RIMC-HLM-NRS-PPL-L-NEW,1
RIMC-HLM-NRS-PPL-XL-NEW,0
RIMC-HLM-NRS-BLU-M-NEW,0
RIMC-HLM-NRS-BLU-L-NEW,0
RIMC-HLM-NRS-BLU-XL-NEW,0
RIMC-HLM-NRS-TSC-M-NEW,0
RIMC-HLM-NRS-TSC-L-NEW,0
RIMC-HLM-NRS-TSC-XL-NEW,0
RIMC-HLM-NRS-WHT-M-NEW,0
RIMC-HLM-NRS-WHT-L-NEW,0
RIMC-HLM-NRS-WHT-XL-NEW,0
RIMC-HLM-NRS-CRM-M-NEW,0
RIMC-HLM-NRS-CRM-L-NEW,0
RIMC-HLM-NRS-CRM-XL-NEW,0
RIMC-HLM-RSA-PNK-M,0
RIMC-HLM-RSA-PNK-L,2
RIMC-HLM-RSA-PNK-XL,2
RIMC-HLM-RSA-PPL-M,0
RIMC-HLM-RSA-PPL-L,0
RIMC-HLM-RSA-PPL-XL,0
RIMC-HLM-RSA-BLU-M,0
RIMC-HLM-RSA-BLU-L,0
RIMC-HLM-RSA-BLU-XL,0
RIMC-HLM-RSA-TSC-M,0
RIMC-HLM-RSA-TSC-L,0
RIMC-HLM-RSA-TSC-XL,0
RIMC-HLM-RSA-WHT-M,0
RIMC-HLM-RSA-WHT-L,0
RIMC-HLM-RSA-WHT-XL,0
RIMC-HLM-RSA-CRM-M,0
RIMC-HLM-RSA-CRM-L,0
RIMC-HLM-RSA-CRM-XL,0
RIMC-HLM-RSF-PNK-M,0
RIMC-HLM-RSF-PNK-L,0
RIMC-HLM-RSF-PNK-XL,0
RIMC-HLM-RSF-PPL-M,3
RIMC-HLM-RSF-PPL-L,0
RIMC-HLM-RSF-PPL-XL,0
RIMC-HLM-RSF-BLU-M,0
RIMC-HLM-RSF-BLU-L,0
RIMC-HLM-RSF-BLU-XL,0
