ref,payout_date,qty_produk,hpp,total_price,seller_discount,fee_admin,fee_service,fee_order_process,fee_program,fee_affiliate,shipping_cost,omset,payout_status
251220UC7GNPR1,2026-01-01 00:00:00,1,213900,  525.000 ,  -   ,- 53.550 ,- 61.950 ,- 1.250 ,- 350 ,- 7.692 ,  -   ,  400.208 ,SETTLED
251228HMMC6N6R,2026-01-01 00:00:00,2,244250,  654.000 ,- 124.000 ,- 54.060 ,- 62.540 ,- 1.250 ,- 350 ,  -   ,  -   ,  411.800 ,SETTLED
2512234PPY7GHH,2026-01-01 00:00:00,1,115850,  325.000 ,  -   ,- 31.525 ,- 38.350 ,- 1.250 ,- 350 ,- 9.231 ,  -   ,  244.294 ,SETTLED
251229KTR3DCD3,2026-01-01 00:00:00,1,190900,  385.000 ,- 11.550 ,- 38.092 ,- 44.067 ,- 1.250 ,- 350 ,  -   ,  -   ,  289.691 ,SETTLED
581843679827428998,2026-01-01 00:00:00,2,198600,  497.500 ,- 159.000 ,- 27.080 ,- 17.559 ,- 1.250 ,- 11.848 ,  -   ,  -   ,  280.763 ,SETTLED
251212511090QD,2026-01-02 00:00:00,1,200900,  415.000 ,  -   ,- 42.330 ,- 48.970 ,- 1.250 ,- 350 ,  -   ,  -   ,  322.100 ,SETTLED
251225A10XKR22,2026-01-02 00:00:00,2,233750,  565.000 ,- 16.950 ,- 55.901 ,- 64.670 ,- 1.250 ,- 350 ,  -   ,  -   ,  425.879 ,SETTLED
25122478YG70H7,2026-01-02 00:00:00,2,345900,  871.500 ,  -   ,- 87.161 ,- 102.838 ,- 1.250 ,- 350 ,  -   ,  -   ,  679.901 ,SETTLED
2512223CKW5G3B,2026-01-02 00:00:00,2,210750,  425.000 ,  -   ,- 43.350 ,- 50.150 ,- 1.250 ,- 350 ,  -   ,  -   ,  329.900 ,SETTLED
251227FUDYD3DK,2026-01-02 00:00:00,1,72000,  127.000 ,- 3.810 ,- 12.565 ,- 14.536 ,- 1.250 ,- 350 ,  -   ,  -   ,  94.489 ,SETTLED
251228GR1XKC00,2026-01-02 00:00:00,2,91850,  167.000 ,- 5.010 ,- 16.523 ,- 19.115 ,- 1.250 ,- 350 ,  -   ,  -   ,  124.752 ,SETTLED
251229KHR7XB3C,2026-01-02 00:00:00,1,200900,  415.000 ,- 83.000 ,- 33.864 ,- 39.176 ,- 1.250 ,- 350 ,  -   ,  -   ,  257.360 ,SETTLED
251229KAV6WJG3,2026-01-02 00:00:00,1,204000,  385.000 ,- 11.550 ,- 38.092 ,- 44.067 ,- 1.250 ,- 350 ,  -   ,  -   ,  289.691 ,SETTLED
581873578345727952,2026-01-02 00:00:00,1,132000,  275.000 ,- 8.250 ,- 21.340 ,- 14.671 ,- 1.250 ,- 9.336 ,  -   ,  -   ,  220.153 ,SETTLED
581870410804594494,2026-01-02 00:00:00,3,434700,  929.500 ,- 245.900 ,- 54.688 ,- 34.180 ,- 1.250 ,- 23.926 ,  -   ,  -   ,  569.556 ,SETTLED
581867468132681125,2026-01-02 00:00:00,1,72000,  127.000 ,- 3.810 ,- 9.855 ,- 6.775 ,- 1.250 ,- 4.312 ,- 12.319 ,  -   ,  88.679 ,SETTLED
581854294192588014,2026-01-02 00:00:00,2,307790,  708.400 ,- 177.100 ,- 42.504 ,- 28.524 ,- 1.250 ,- 18.596 ,  -   ,  -   ,  440.426 ,SETTLED
