inv_code,inv_name,unit_price
RIMC-HLM-DJA-WG-M,Helm Doja White M,
RIMC-HLM-DJA-WG-L,Helm Doja White L,
RIMC-HLM-DJA-WG-XL,Helm Doja White XL,
RIMC-HLM-DJA-BGI-M,Helm Doja Beige M,
RIMC-HLM-DJA-BGI-L,Helm Doja Beige L,
RIMC-HLM-DJA-BGI-XL,Helm Doja Beige XL,
RIMC-HLM-DJA-BG-M,Helm Doja Black Glossy M,
RIMC-HLM-DJA-BG-L,Helm Doja Black Glossy L,
RIMC-HLM-DJA-BG-XL,Helm Doja Black Glossy XL,
RIMC-HLM-DJA-MB-M,Helm Doja Black Matte M,
RIMC-HLM-DJA-MB-L,Helm Doja Black Matte L,
RIMC-HLM-DJA-MB-XL,Helm Doja Black Matte XL,
RIMC-HLM-DJA-ORN-M,Helm Doja Orange Glossy M,
RIMC-HLM-DJA-ORN-L,Helm Doja Orange Glossy L,
RIMC-HLM-DJA-ORN-XL,Helm Doja Orange Glossy XL,
RIMC-HLM-DJA-YL-M,Helm Doja Yellow Glossy M,
RIMC-HLM-DJA-YL-L,Helm Doja Yellow Glossy L,
RIMC-HLM-DJA-YL-XL,Helm Doja Yellow Glossy XL,
RIMC-HLM-DJA-RD-M,Helm Doja Red Glossy M,
RIMC-HLM-DJA-RD-L,Helm Doja Red Glossy L,
RIMC-HLM-DJA-RD-XL,Helm Doja Red Glossy XL,
RIMC-HLM-DJA-SVR-M,Helm Doja Silver Glossy M,
RIMC-HLM-DJA-SVR-L,Helm Doja Silver Glossy L,
RIMC-HLM-DJA-SVR-XL,Helm Doja Silver Glossy XL,
RIMC-HLM-DJX-BG-M,Helm Doja X Black Glossy M,
RIMC-HLM-DJX-BG-L,Helm Doja X Black Glossy L,
RIMC-HLM-DJX-BG-XL,Helm Doja X Black Glossy XL,
RIMC-HLM-DJX-MB-M,Helm Doja X Black Matte M,
RIMC-HLM-DJX-MB-L,Helm Doja X Black Matte L,
RIMC-HLM-DJX-MB-XL,Helm Doja X Black Matte XL,
RIMC-HLM-DJX-WG-M,Helm Doja X White M,
RIMC-HLM-DJX-WG-L,Helm Doja X White L,
RIMC-HLM-DJX-WG-XL,Helm Doja X White XL,
RIMC-HLM-DJX-BGI-M,Helm Doja X Beige Glossy M,
RIMC-HLM-DJX-BGI-L,Helm Doja X Beige Glossy L,
RIMC-HLM-DJX-BGI-XL,Helm Doja X Beige Glossy XL,
RIMC-HLM-500-TX-BLK-GLS-S-M,Helm Slim 500TX Black Glossy S-M,
RIMC-HLM-500-TX-BLK-GLS-L-XL,Helm Slim 500TX Black Glossy L-XL,
