order_no,sku,qty,unit_price,discount_item
TP-581430954003236254-116092,RIMC-BG-CLS-BLK,1,346500,0
TT-581431390246307802-116096,RIMC-HLM-500-TX-WHT-GLS-L-XL,1,525000,0
TT-581433160768718025-116096,RIMC-HLM-UNI-DOP-XL,1,275000,0
TT-581433436239595246-116096,RIMC-HLM-UNI-DOP-L,1,275000,0
TT-581434389738784145-116096,RIMC-HLM-500-TX-ORN-GLS-S-M-VSR-SNL-SMK,1,635000,0
SP-2512017J68WTR4,RIMC-HLM-KDJ-WG-L-BG5-CL,1,385000,0
SP-2512017KTGQ2EY,RIMC-KTR-TMKL-WHT-L,1,132000,0
SP-2512017MJ432AR,RIMC-HLM-DJX-WG-L,1,415000,0
TT-581437897719317659-116096,RIMC-KMJ-FNL-BRN-L,1,270000,0
TT-581439082480632907-116096,RIMC-HLM-DJX-BG-L,1,415000,1
SP-2512018GM9X14Y,RIMC-BG-RHD-BLK,1,522500,0
SO-000002151,RIMC-JRNE-PRF,1,87500,0
SO-000002151,RIMC-GLV-KWA-LXL,1,77500,0
SO-010002151,RIMC-HLM-UNI-GLS-L-VSR-SNL-SMK,1,310000,0
SP-2512028W6T7Q3P,RIMC-HLM-DJA-BG-XL-VSR-SNL-SMK,1,495000,0
SP-25120293JNCC7G,RIMC-BG-DNT-GRN,1,325000,0
SP-25120298FVX4HK,RIMC-BG-DNT-GRN,1,325000,0
SP-251202A510GVSP,RIMC-HLM-KDJ-BG-L-PWT-ORN,1,302500,0
SP-251202AHMDG462,RIMC-HLM-KDJ-WG-M-PWT-BLU,1,302500,0
SP-251202AHXNKRQR,RIMC-BG-CLS-BLK,1,346500,0
SP-251202AMUG9VWQ,RIMC-HLM-UNI-DOP-L,1,275000,0
SO-000002161,RIMC-HLM-DJA-BG-M,1,350000,350000
SP-251202ASAFXVVA,RIMC-HLM-KDJ-SVR-XL-BG5-CL,1,385000,0
SP-251203CD8ARDRG,RIMC-PT-PWT-SMK,1,40000,0
SP-251203CD8ARDRG,RIMC-HLM-500-TX-BLK-DOP-S-M,1,525000,0
SP-251203CDJF23H3,RIMC-HLM-DJX-MB-L,1,415000,0
SP-251203CMP9V180,RIMC-HLM-UNI-GLS-M,1,275000,0
SP-251203CMP9V180,RIMC-PT-END-WHT,1,95000,0
SP-251203D0RFKFQQ,RIMC-HLM-DJX-BG-M,1,415000,0
SP-251203D8JA7RT9,RIMC-PT-PWT-SMK,1,40000,0
SP-251203D9NT1MJN,RIMC-HLM-UNI-GLS-M-VSR-SNL-SMK,1,385000,0
SP-251203DNG2278Q,RIMC-PT-PWT-CL,1,40000,0
SP-251203DP027FH2,RIMC-KTR-MTB-BLK-L,1,132000,0
