sku,component_group,component_type,inv_code,component_name,qty,unit_cost,is_stock_tracked,notes,sequence_no,is_active
RIMC-BDR-L,MAIN,INVENTORY,,,1,0,true,,1,true
RIMC-BDR-M,MAIN,INVENTORY,,,1,0,true,,1,true
RIMC-BDR-XL,MAIN,INVENTORY,,,1,0,true,,1,true
RIMC-BG-ABN-BLK,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-ABN-BWN,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-ABN-GRN,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-CLS-BLK,MAIN,INVENTORY,,,1,0,true,,1,true
RIMC-BG-CTR-BLK,MAIN,INVENTORY,,,1,0,true,,1,true
RIMC-BG-DNT-CRM,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-DNT-GRN,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-EDG,MAIN,INVENTORY,,,1,0,true,,1,true
RIMC-BG-ERG-BWN,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-ERG-GRN,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-ERG-GRY,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-FLK-BLK,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-FLK-NVB,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-HGS,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-HTR-BW,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-HTR-SGE,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-HTR-TC,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-HTR-YL,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-KGR-BLK,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-MRK-MRN,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-MRK-NVY,MAIN,INVENTORY,,,1,0,true,,1,false
RIMC-BG-MRO,MAIN,INVENTORY,,,1,0,true,,1,false
